I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63
124311,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,7.07017517,5.61403656,-29.7288818,18.4778748,-42.7587547,-40.9066696,3,-999,-999,0,-15.0952301,43.7619095,-27.3965511,18.4477348,-2.73196006,1.15002656,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.037300352,-0.0454393812,60.3933105,6,1,148.034882,0,2.05523205,0.269857883,2.98783827,1094.52991,5.73497009,1.149611,-1.56040525,0,0,3
124316,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,7.37931061,7.22413635,-29.9893322,17.3094769,-43.0730896,-42.906189,6,-999,-999,0,-16.5967789,41.1612854,-27.0484848,18.0790348,-2.96203065,1.26556826,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0485883057,-0.0299317986,60.3735809,6,1,148.034882,0,2.05523205,0.260924309,2.98863125,1126.88391,5.77006435,1.67661798,-1.50067866,0,0,3
124321,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,7.37931061,7.22413635,-29.9893322,17.3094769,-43.0730896,-42.906189,6,-999,-999,0,-16.5967789,41.1612854,-27.0484848,18.0790348,-2.96203065,1.26556826,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0485883057,-0.0299317986,60.3735809,6,1,148.303818,0,2.08501124,0.260924309,2.98863125,1129.12842,5.8040061,2.23645949,-1.43348551,0,0,3
124326,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,8.5068512,9.69863129,-38.081871,17.5480042,-43.0654449,-43.941597,6,-999,-999,0,-16.8225861,39.3064499,-26.412344,18.0623226,-2.93493295,1.25703776,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0575900003,-0.0142640145,56.7117691,6,1,148.303818,0,2.08501124,0.218833789,2.99200797,1120.11316,5.82429647,2.81993914,-1.36662853,0,0,3
124331,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,8.5068512,9.69863129,-38.081871,17.5480042,-43.0654449,-43.941597,6,-999,-999,0,-16.8225861,39.3064499,-26.412344,18.0623226,-2.93493295,1.25703776,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.0575900003,-0.0142640145,56.7117691,6,1,148.560425,0,2.14421654,0.218833789,2.99200797,1121.67603,5.79986906,3.4227457,-1.2946496,0,0,3
124336,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,8.37287903,12.6779633,-29.8966484,17.8039761,-43,-44,6,-999,-999,0,-16.8225861,39.3064499,-26.412344,18.0623226,-2.76575089,1.191872,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.055995442,-0.00556244142,60.9276505,6,1,148.560425,0,2.14421654,0.208048403,2.99277735,1112.07703,5.77351141,4.04364872,-1.22410047,-1,0,3
124341,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,8.37287903,12.6779633,-29.8966484,17.8039761,-43,-44,6,-999,-999,0,-16.8225861,39.3064499,-26.412344,18.0623226,-2.76575089,1.191872,6,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.055995442,-0.00556244142,60.9276505,6,1,148.801666,0,2.20677042,0.208048403,2.99277735,1112.96924,5.73804522,4.67497587,-1.15804565,-1,0,3
124346,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,8.87096405,14.5483856,-29.0448685,18.2186012,-43.0439377,-45.7227936,4,-999,-999,0,-17.109375,35.171875,-27.1162357,17.9971752,-2.92646861,1.26601565,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.077236563,0.00955703016,61.2290192,6,1,148.801666,0,2.20677042,0.229048729,2.99124336,1135.05457,5.68159199,5.31681871,-1.08850658,0,0,3
124351,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,8.87096405,14.5483856,-29.0448685,18.2186012,-43.0439377,-45.7227936,4,-999,-999,0,-17.109375,35.171875,-27.1162357,17.9971752,-2.92646861,1.26601565,4,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.077236563,0.00955703016,61.2290192,6,1,149.033707,0,2.23932552,0.229048729,2.99124336,1137.17004,5.6295085,5.96318054,-1.02252352,0,0,3
124356,-999,-999,0,-999,-999,0,-999,-999,-999,0,-999,-999,0,-999,-999,0,9.17241669,16.5862045,-29.2969208,18.5784798,-43.025486,-46.9973488,3,-999,-999,0,-17.3582077,32.8656693,-27.1305828,17.7958584,-2.90507126,1.26073003,3,4,-999,-999,0,0,-999,-999,0,0,-999,-999,0,0,-0.083962135,0.0233187675,61.2670631,6,1,149.033707,0,2.23932552,0.219172016,2.99198318,1117.48511,5.57634926,6.61239624,-0.955027282,0,0,3
